director,count
,2636
Rajiv Chilaka,19
"Raúl Campos, Jan Suter",18
Marcus Raboy,16
Suhas Kadav,16
Jay Karas,14
Cathy Garcia-Molina,13
Youssef Chahine,12
Martin Scorsese,12
Jay Chapman,12
Steven Spielberg,11
Don Michael Paul,10
David Dhawan,9
Robert Rodriguez,8
Troy Miller,8
Kunle Afolayan,8
Fernando Ayllón,8
Hakan Algül,8
Johnnie To,8
Ryan Polito,8
Shannon Hartman,8
Yılmaz Erdoğan,8
Lance Bangs,8
Quentin Tarantino,8
Prakash Satam,7
Toshiya Shinohara,7
Omoni Oboli,7
S.S. Rajamouli,7
Justin G. Dyck,7
Mae Czarina Cruz,7
Ozan Açıktan,7
Hidenori Inoue,7
Clint Eastwood,7
McG,7
Ron Howard,7
Ram Gopal Varma,7
Vlad Yudin,6
Rajkumar Santoshi,6
Wenn V. Deramas,6
Ashutosh Gowariker,6
Milan Luthria,6
Sameh Abdulaziz,6
Noah Baumbach,6
Imtiaz Ali,6
Steven Soderbergh,6
Matt Askem,6
Anees Bazmee,6
Sooraj R. Barjatya,6
David Fincher,6
Joey So,6
Robert Luketic,6
Lasse Hallström,6
Robert Vince,6
Hanung Bramantyo,6
Thierry Donard,5
Niyi Akinmolayan,5
Nagesh Kukunoor,5
Riri Riza,5
Priyadarshan,5
John G. Avildsen,5
Mani Ratnam,5
Khaled Marei,5
Umesh Mehra,5
Madhur Bhandarkar,5
Andy Tennant,5
David Batty,5
Indra Kumar,5
Rocky Soraya,5
Vince Marcello,5
Spike Lee,5
Lynn Shelton,5
Oliver Stone,5
Jay Roach,5
Prakash Jha,5
Angga Dwimas Sasongko,5
Leslie Small,5
Martin Campbell,5
Kıvanç Baruönü,5
Manny Rodriguez,5
Rajiv Mehra,5
Paul Thomas Anderson,5
Antoinette Jadaone,5
Anurag Kashyap,5
Kevin Smith,5
Michael Simon,5
Vishal Bhardwaj,5
Ava DuVernay,5
Detlev Buck,5
Mike Clattenburg,5
Wilson Yip,5
Steve Brill,5
Mahesh Manjrekar,5
Rohit Shetty,5
Cristina Jacob,4
Mike Gunther,4
Wong Jing,4
Poj Arnon,4
Chris Stokes,4
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",4
Jesse V. Johnson,4
Antonio Campos,4
